title,description,workspace,creator,deadline,assignee,status,progress,created_at,start_at,updated_at
Triển khai hệ thống giám sát thiết bị,Cài đặt và cấu hình hệ thống giám sát thiết bị sản xuất theo danh sách thiết bị đã được phê duyệt,DepartmentTechnical,67ede2ec1711f340729a08d4,1718132400,67ede2ec1711f340729a08d6,doing,45,1714791200,1714877600,1715050400
Tối ưu quy trình sản xuất công đoạn A,Phân tích và đề xuất giải pháp tối ưu quy trình sản xuất công đoạn A để giảm thời gian và chi phí,DepartmentTechnical,67ede2ec1711f340729a08d4,1717786800,67ede2ec1711f340729a08d7,open,0,1714704800,1714964000,1714964000
Bảo trì hệ thống điện nhà xưởng,Tiến hành kiểm tra và bảo trì toàn diện hệ thống điện nhà xưởng theo lịch bảo trì định kỳ,DepartmentTechnical,67ede2ec1711f340729a08d4,1716404400,67ede2ec1711f340729a08d5,completed,100,1714618400,1714704800,1715482800
Nghiên cứu chất liệu mới cho sản phẩm B,Triển khai nghiên cứu và thử nghiệm các chất liệu mới phù hợp với yêu cầu kỹ thuật của sản phẩm B,DepartmentTechnical,67ede2ec1711f340729a08d5,1719342000,67ede2ec1711f340729a08d8,doing,30,1714877600,1715050400,1715309600
Cập nhật tài liệu kỹ thuật sản phẩm C,Rà soát và cập nhật toàn bộ tài liệu kỹ thuật cho dòng sản phẩm C theo chuẩn ISO mới,DepartmentTechnical,67ede2ec1711f340729a08d4,1716750000,67ede2ec1711f340729a08d9,review,90,1714532800,1714618400,1715223200
Thiết kế mẫu thiết bị D phiên bản 2.0,Phát triển và thiết kế mẫu thiết bị D phiên bản 2.0 với các cải tiến theo yêu cầu từ phòng marketing,DepartmentTechnical,67ede2ec1711f340729a08d5,1718478000,67ede2ec1711f340729a08d6,doing,60,1714964000,1715050400,1715396400
Khắc phục sự cố hệ thống làm mát,Xác định nguyên nhân và khắc phục sự cố hệ thống làm mát tại dây chuyền sản xuất số 3,DepartmentTechnical,67ede2ec1711f340729a08d4,1715232000,67ede2ec1711f340729a08d7,close,100,1714532800,1714546400,1715050400
Đào tạo vận hành máy CNC mới,Xây dựng tài liệu và tổ chức đào tạo cho nhân viên vận hành máy CNC mới vừa được nhập về,DepartmentTechnical,67ede2ec1711f340729a08d4,1717268400,67ede2ec1711f340729a08d5,doing,75,1714791200,1714877600,1715309600
Phát triển phần mềm quản lý thiết bị,Xây dựng phần mềm nội bộ quản lý vòng đời và bảo trì thiết bị kỹ thuật,DepartmentTechnical,67ede2ec1711f340729a08d5,1720551600,67ede2ec1711f340729a08d8,open,10,1715050400,1715136800,1715223200
Thử nghiệm quy trình sản xuất mới,Triển khai thử nghiệm quy trình sản xuất mới trên dây chuyền pilot và đánh giá hiệu quả,DepartmentTechnical,67ede2ec1711f340729a08d4,1716577200,67ede2ec1711f340729a08d9,cancel,20,1714618400,1714704800,1715136800